date,steps,distance,activeScore,activityCalories,calories,caloriesIn,minutesSedentary,minutesLightlyActive,minutesFairlyActive,minutesVeryActive,timeInBed,minutesAsleep,minutesAwake,awakeningsCount,weight,bmi,fat
6/29/2013,6889,4.85046,581,823,1940,0,198,209,56,16,961,810,148,41,63,22.40136147,0
6/30/2013,14260,10.03474,959,1360,2303,0,503,330,103,29,475,441,34,9,63,22.40136147,0
7/1/2013,8348,5.86014,595,900,1974,0,651,248,71,6,464,429,25,7,63.066,22.42482948,0
7/2/2013,6387,4.55523,542,797,1923,0,751,202,57,13,417,400,11,5,63.132,22.4482975,0
7/3/2013,8357,5.7914,681,1050,2057,0,577,323,75,0,338,322,3,3,63.198,22.47176743,0
7/4/2013,19204,13.30837,837,1202,2209,0,490,222,167,6,555,507,43,7,63.264,22.49523354,0
7/5/2013,10525,7.29383,633,935,2011,0,542,217,106,5,570,527,11,7,63.33,22.51870346,0
7/6/2013,5704,3.95287,551,874,1931,0,586,301,41,1,440,411,20,2,63.396,22.54216957,0
7/7/2013,5414,3.7519,333,523,1720,0,527,168,35,0,540,535,4,4,63.462,22.5656395,0
7/8/2013,5755,4.01334,624,733,2002,0,797,161,42,26,414,405,2,2,63.528,22.58910561,0
7/9/2013,10899,7.55301,712,1019,2087,0,588,198,126,8,494,472,14,3,63.594,22.61257553,0
7/10/2013,5890,4.1083,651,832,2028,0,690,162,83,23,505,495,3,3,63.66,22.63604164,0
7/11/2013,5173,3.61001,463,688,1846,0,739,170,65,4,465,454,4,4,63.726,22.65951157,0
7/12/2013,11149,7.95198,673,955,2050,0,638,194,93,17,498,448,27,4,63.792,22.68297768,0
7/13/2013,13377,9.34564,1030,1358,2396,0,572,142,194,36,496,475,7,6,63.858,22.7064476,0
7/14/2013,1022,0.70825,141,156,2003,0,920,0,0,20,500,500,0,0,63.924,22.72991562,0
7/15/2013,5241,3.63201,595,814,1974,0,697,157,66,22,498,443,37,7,64,22.75693893,0
7/16/2013,5688,3.94178,411,586,1795,0,795,137,53,5,450,439,11,8,63.6,22.61470795,0
7/17/2013,203,0.14068,589,726,1968,0,827,59,32,62,450,445,5,5,63.2,22.47247696,0
7/18/2013,3411,2.36382,235,359,1625,0,811,104,25,0,510,497,7,7,63.428,22.55354881,0
7/19/2013,5284,3.68613,388,578,1773,0,845,158,42,2,393,384,3,2,63.656,22.63461876,0
7/20/2013,3679,2.54955,322,502,1709,0,711,163,26,0,540,536,4,2,63.884,22.71569061,0
7/21/2013,1706,1.18226,323,505,1710,0,726,170,20,2,522,511,1,1,64.112,22.79676247,0
7/22/2013,2978,2.06375,176,261,2011,0,904,54,31,1,450,450,0,0,64.34,22.87783432,0
7/23/2013,6462,4.58188,431,673,1834,0,793,178,51,8,410,401,7,4,64.568,22.95890617,0
7/24/2013,13976,9.68537,767,1062,2163,0,1128,186,108,18,0,0,0,0,64.8,23.04140091,0
7/25/2013,8392,5.84279,530,788,1931,0,1170,204,62,4,0,0,0,0,64.805,23.04317856,0
7/26/2013,10095,6.99584,521,740,1922,0,1210,139,84,7,0,0,0,0,64.81,23.04495621,0
7/27/2013,6971,4.8309,362,555,1766,0,1239,162,39,0,0,0,0,0,64.815,23.04673576,0
7/28/2013,10213,7.07761,548,822,1948,0,1153,205,82,0,0,0,0,0,64.82,23.04851151,0
7/29/2013,4843,3.3562,383,562,1787,0,1254,132,51,3,0,0,0,0,64.825,23.05028915,0
7/30/2013,421,0.29175,65,113,2011,0,1395,43,2,0,0,0,0,0,64.83,23.05206871,0
7/31/2013,7152,4.98086,526,790,1927,0,714,213,62,2,449,434,6,4,64.835,23.05384445,0
8/1/2013,5396,3.79028,477,714,1879,0,1173,205,42,4,0,0,0,0,64.84,23.0556221,0
8/2/2013,17025,11.79833,914,1256,2307,0,596,205,135,24,496,486,7,5,64.845,23.05740166,0
8/3/2013,7563,5.39553,512,762,1913,0,1179,214,36,11,0,0,0,0,64.85,23.05917931,0
8/4/2013,2714,1.90553,154,239,2011,0,1355,69,16,0,0,0,0,0,64.855,23.06095886,0
8/5/2013,5301,3.67359,401,605,1804,0,816,162,51,0,411,393,11,7,64.86,23.0627346,0
8/6/2013,8142,5.66753,497,744,1898,0,810,185,72,1,350,331,10,7,64.865,23.06451225,0
8/7/2013,6488,4.49618,628,883,2027,0,620,192,45,32,573,513,54,11,64.87,23.06629181,0
8/8/2013,4904,3.44852,498,667,1899,0,893,109,31,38,369,355,3,3,64.875,23.06806946,0
8/9/2013,7864,5.44975,544,809,1944,0,727,202,74,2,435,435,0,0,64.88,23.0698452,0
8/10/2013,10831,7.55633,592,874,1991,0,664,211,83,2,480,480,0,0,64.885,23.07162476,0
8/11/2013,13052,9.04504,878,1158,2272,0,751,149,109,41,390,390,0,0,64.89,23.0734024,0
8/12/2013,7552,5.23354,464,698,1866,1388,810,189,53,2,386,376,2,1,64.895,23.07518005,0
8/13/2013,6946,4.81358,467,688,1869,2247,679,165,59,6,531,494,15,3,64.9,23.07695961,0
8/14/2013,6241,4.37546,401,594,1804,2924,855,145,53,3,384,384,0,0,64.905,23.07873535,0
8/15/2013,9212,6.38392,725,1070,2122,2471,644,276,81,6,433,406,2,2,64.91,23.08051491,0
8/16/2013,11627,8.05751,668,975,2066,0,695,228,87,8,422,410,5,3,64.915,23.08229256,0
8/17/2013,2803,1.94248,775,857,2171,0,1345,5,11,79,0,0,0,0,64.92,23.0840683,0
8/18/2013,2273,1.57519,145,228,2013,0,1357,66,17,0,0,0,0,0,64.925,23.08584785,0
8/19/2013,4070,2.84704,258,379,1664,0,1316,91,29,4,0,0,0,0,64.93,23.0876255,0
8/20/2013,0,0,0,5,2013,0,1438,2,0,0,0,0,0,0,64.935,23.08940315,0
8/21/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.94,23.09118271,0
8/22/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.945,23.09295845,0
8/23/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.95,23.0947361,0
8/24/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.955,23.09651566,0
8/25/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.96,23.0982933,0
8/26/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.965,23.10006905,0
8/27/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.97,23.1018486,0
8/28/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.975,23.10362625,0
8/29/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.98,23.10540581,0
8/30/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.985,23.10718155,0
8/31/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.99,23.1089592,0
9/1/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,64.995,23.11073875,0
9/2/2013,0,0,0,0,2013,0,1440,0,0,0,0,0,0,0,65,23.1125164,0
9/3/2013,9233,6.44972,545,775,1945,0,1196,153,85,6,0,0,0,0,65,23.1125164,0
9/4/2013,5250,3.63825,298,426,1703,0,1306,92,37,5,0,0,0,0,64.734,23.01793289,0
9/5/2013,0,0,15,5,2005,0,1438,2,0,0,0,0,0,0,64.468,22.92334938,0
9/6/2013,6854,4.74982,400,558,1785,0,1254,134,51,1,0,0,0,0,64.2,22.82805252,0
9/7/2013,7039,4.95401,386,503,1771,0,1290,79,64,7,0,0,0,0,63.8,22.68582344,0
9/8/2013,865,0.59945,838,65,2210,0,1421,11,7,1,0,0,0,0,63.6,22.61470795,0
9/9/2013,8075,5.69808,397,544,1782,0,1280,87,65,8,0,0,0,0,63.4,22.54359245,0
9/10/2013,5868,4.323,319,424,1689,0,1309,87,32,12,0,0,0,0,63,22.40136147,0
9/11/2013,5456,3.90824,353,530,1739,0,1256,144,31,9,0,0,0,0,63.083,22.43087387,0
9/12/2013,13092,9.09848,678,913,2054,0,1183,117,107,33,0,0,0,0,63.166,22.46038818,0
9/13/2013,14501,10.77058,731,956,2106,0,1193,112,89,46,0,0,0,0,63.249,22.48990059,0
9/14/2013,9993,6.976,405,576,1790,0,1259,87,91,3,0,0,0,0,63.332,22.51941299,0
9/15/2013,6529,4.5246,354,521,1740,0,815,115,60,1,449,430,1,1,63.415,22.54892731,0
9/16/2013,7074,4.97826,446,609,1811,0,732,127,57,11,513,477,30,17,63.5,22.57914925,0
9/17/2013,8957,6.28278,558,734,1918,0,819,105,81,26,409,394,8,6,63.15,22.45469856,0
9/18/2013,5744,4.0831,370,529,1738,0,731,125,45,9,530,501,19,12,62.8,22.33024597,0
9/19/2013,14985,10.68691,763,998,2115,0,640,124,120,32,524,503,5,4,62.8,22.33024597,0
9/20/2013,11918,8.61736,664,905,2020,0,645,165,81,32,517,508,1,1,62.8,22.33024597,0
9/21/2013,9144,6.41277,412,560,1778,0,819,89,75,7,450,450,0,0,62.8,22.33024597,0
9/22/2013,10870,7.63562,541,760,1902,0,710,161,80,9,480,479,1,1,62.8,22.33024597,0
9/23/2013,0,0,5,7,86,0,82,3,0,0,0,0,0,0,62.8,22.33024597,0
